PMWh,CapCost,OCF,Pkg,FOC
20,300,90,1.591517883,0.196028738
20,300,80,1.645138209,0.22053233
20,300,70,1.714078627,0.252036949
20,300,60,1.805999185,0.294043107
20,300,50,1.934687965,0.352851729
20,300,40,2.127721137,0.441064661
20,300,30,2.449443089,0.588086214
20,300,20,3.092886993,0.882129321
20,300,10,5.023218705,1.764258643
10,900,97,1.649418569,0.418744692
10,900,90,1.732133483,0.451313724
10,900,80,1.87540753,0.507727939
10,900,70,2.059617019,0.580260502
10,900,60,2.305229671,0.676970586
10,900,50,2.649087384,0.812364703
10,900,40,3.164873954,1.015455879
10,900,30,4.024518237,1.353941171
10,900,20,5.743806802,2.030911757
10,900,10,10.9016725,4.061823514
10,600,97,1.315646109,0.299944413
10,600,90,1.372400943,0.323273422
10,600,80,1.470708422,0.3636826
10,600,70,1.597103753,0.415637257
10,600,60,1.765630861,0.484910134
10,600,50,2.001568812,0.58189216
10,600,40,2.355475739,0.727365201
10,600,30,2.945320616,0.969820267
10,600,20,4.125010371,1.454730401
10,600,10,7.664079636,2.909460802
10,400,97,1.094628676,0.221277248
10,400,90,1.134193264,0.238487701
10,400,80,1.202724784,0.268298664
10,400,70,1.290836738,0.306627044
10,400,60,1.408319344,0.357731552
10,400,50,1.572794991,0.429277862
10,400,40,1.819508462,0.536597327
10,400,30,2.230697581,0.715463103
10,400,20,3.053075818,1.073194655
10,400,10,5.520210531,2.14638931
10,300,97,0.983947645,0.181882334
10,300,90,1.014903709,0.196028738
10,300,80,1.068524034,0.22053233
10,300,70,1.137464453,0.252036949
10,300,60,1.22938501,0.294043107
10,300,50,1.358073791,0.352851729
10,300,40,1.551106962,0.441064661
10,300,30,1.872828914,0.588086214
10,300,20,2.516272819,0.882129321
10,300,10,4.446604531,1.764258643
1,900,97,1.130465812,0.418744692
1,900,90,1.213180726,0.451313724
1,900,80,1.356454773,0.507727939
1,900,70,1.540664262,0.580260502
1,900,60,1.786276915,0.676970586
1,900,50,2.130134628,0.812364703
1,900,40,2.645921197,1.015455879
1,900,30,3.50556548,1.353941171
1,900,20,5.224854045,2.030911757
1,900,10,10.38271974,4.061823514
1,600,97,0.796693352,0.299944413
1,600,90,0.853448186,0.323273422
1,600,80,0.951755666,0.3636826
1,600,70,1.078150996,0.415637257
1,600,60,1.246678104,0.484910134
1,600,50,1.482616055,0.58189216
1,600,40,1.836522982,0.727365201
1,600,30,2.426367859,0.969820267
1,600,20,3.606057614,1.454730401
1,600,10,7.14512688,2.909460802
1,400,97,0.575675919,0.221277248
1,400,90,0.615240508,0.238487701
1,400,80,0.683772027,0.268298664
1,400,70,0.771883981,0.306627044
1,400,60,0.889366587,0.357731552
1,400,50,1.053842234,0.429277862
1,400,40,1.300555705,0.536597327
1,400,30,1.711744824,0.715463103
1,400,20,2.534123061,1.073194655
1,400,10,5.001257774,2.14638931
1,300,97,0.464994888,0.181882334
1,300,90,0.495950952,0.196028738
1,300,80,0.549571277,0.22053233
1,300,70,0.618511696,0.252036949
1,300,60,0.710432253,0.294043107
1,300,50,0.839121034,0.352851729
1,300,40,1.032154206,0.441064661
1,300,30,1.353876158,0.588086214
1,300,20,1.997320062,0.882129321
1,300,10,3.927651774,1.764258643
